ID,AOUCode,TSN,CommonName,ScientificName,Family
,HOLA,554256,horned lark,Eremophila alpestris,Alaudidae
,MIKI,554268,mississippi kite,Ictinia mississippiensis,Accipitridae
,SPTO,554380,spotted (rufous-side) towhee,Pipilo maculatus,Emberizidae
,BCCH,554382,black-capped chickadee,Poecile atricapillus,Paridae
,CACH,554383,carolina chickadee,Poecile carolinensis,Paridae
,PUGA,707815,purple gallinule,Porphyrio martinica,Rallidae
,SPSA,726049,spotted sandpiper,Actitis macularius,Scolopacidae
,WEWA,726195,worm-eating warbler,Helmitheros vermivorum,Parulidae
,BLGR,726198,blue grosbeak,Passerina caerulea,Cardinalidae
,OVEN,726205,ovenbird,Seiurus aurocapilla,Parulidae
,LETE,824127,least tern,Sternula antillarum,Laridae
,LOWA,950009,louisiana waterthrush,Parkesia motacilla,Parulidae
,NOWA,950010,northern waterthrush,Parkesia noveboracensis,Parulidae
,BWWA,950011,blue-winged warbler,Vermivora cyanoptera,Parulidae
,TEWA,950014,tennessee warbler,Leiothlypis peregrina,Parulidae
,OCWA,950015,Orange-crowned Warbler,Leiothlypis celata,Parulidae
,NAWA,950018,nashville warbler,Leiothlypis ruficapilla,Parulidae
,KEWA,950025,kentucky warbler,Geothlypis formosa,Parulidae
,HOWA,950029,hooded warbler,Setophaga citrina,Parulidae
,CERW,950032,cerulean warbler,Setophaga cerulea,Parulidae
,NOPA,950033,northern parula,Setophaga americana,Parulidae
,MAWA,950035,magnolia warbler,Setophaga magnolia,Parulidae
,BBWA,950036,bay-breasted warbler,Setophaga castanea,Parulidae
,BLBW,950037,blackburnian warbler,Setophaga fusca,Parulidae
,YEWA,950039,yellow warbler,Setophaga petechia,Parulidae
,CSWA,950040,chestnut-sided warbler,Setophaga pensylvanica,Parulidae
,BLPW,950041,blackpoll warbler,Setophaga striata,Parulidae
,BTBW,950042,black-throated blue warbler,Setophaga caerulescens,Parulidae
,PAWA,950043,palm warbler,Setophaga palmarum,Parulidae
,PIWA,950045,pine warbler,Setophaga pinus,Parulidae
,YRWA,950046,yellow-rumped warbler,Setophaga coronata,Parulidae
,YTWA,950049,yellow-throated warbler,Setophaga dominica,Parulidae
,PRAW,950052,prairie warbler,Setophaga discolor,Parulidae
,BTNW,950061,black-throated green warbler,Setophaga virens,Parulidae
,CAWA,950079,canada warbler,Cardellina canadensis,Parulidae
,WIWA,950080,wilson's warbler,Cardellina pusilla,Parulidae
,BACS,997733,bachman's Sparrow,Peucaea aestivalis,Emberizidae
,PUFI,997803,purple finch,Haemorhous purpreus,Fringillidae
,HOFI,997805,house finch,Haemorhous mexicanus,Fringillidae
,ATSP,997961,american tree sparrow,Spizelloides arborea,Emberizidae
,CWWI,1077350,chuck-will's-widow,Antrostomus carolinensis,Caprimulgidae
,EWPW,1077358,Eastern whip-poor-will,Antrostomus vociferus,Caprimulgidae
,DOWO,1145276,downy woodpecker,Dryobates pubescens,Picidae
,HAWO,1145285,hairy woodpecker,Leuconotopicus villosus,Picidae
,UNBI,-9999,Unidentified bird,Unidentified bird,NULL
,UNOW,-9999,unidentified owl,Unidentified owl,Strigidae/tytonidae
