ParkUnit,Plot,EventDate,VegType,CovClass,MidpointValue,Range
Agate Fossil Beds,AGFO34,Jun  6 2006,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO34,Jun  6 2006,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO34,Jun  8 2004,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO34,Jun  8 2004,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO35,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO35,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO35,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO35,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO36,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO36,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO36,Jun  7 2005,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO36,Jun  7 2005,Wetland,2,3,1 - 5%
Agate Fossil Beds,AGFO36,Jun  7 2006,Riparian Prairie,2,3,1 - 5%
Agate Fossil Beds,AGFO36,Jun  7 2006,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO37,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO37,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO37,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO37,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO38,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO38,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO38,Jun  6 2006,Paved Road,3,15,5 - 25%
Agate Fossil Beds,AGFO38,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO38,Jun  8 2004,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO38,Jun  8 2004,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO39,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO39,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO39,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO39,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO4,Jun  5 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO4,Jun  8 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO4,Jun  8 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO4,Jun  9 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO4,May  7 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO40,Jun  4 2003,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO40,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO40,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO40,Jun  6 2006,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO40,Jun  6 2006,Riparian Prairie,2,3,1 - 5%
Agate Fossil Beds,AGFO40,Jun  6 2006,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO40,Jun  8 2004,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO40,Jun  8 2004,Upland Prairie,2,3,1 - 5%
Agate Fossil Beds,AGFO40,Jun  8 2004,Western Wheatgrass,4,37.5,25 - 50%
Agate Fossil Beds,AGFO41,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO41,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO41,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO41,Jun  7 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO42,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO42,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO42,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO42,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO43,Jun  4 2003,Disturbed Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO43,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
