ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
George Washington Carver,GWCA18,1,Jun 12 2020,Conifer,3
George Washington Carver,GWCA18,1,May 20 2016,Hardwood,13.5
George Washington Carver,GWCA18,1,May 20 2016,Total,13.5
George Washington Carver,GWCA18,1,May 28 2008,Hardwood,17.2
George Washington Carver,GWCA19,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA19,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA19,1,May 18 2016,Total,0
George Washington Carver,GWCA2,1,Jun  6 2012,Hardwood,16.9
George Washington Carver,GWCA2,1,Jun 12 2020,Hardwood,12
George Washington Carver,GWCA2,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA2,1,May 18 2016,Hardwood,10.5
George Washington Carver,GWCA2,1,May 18 2016,Total,10.5
George Washington Carver,GWCA2,1,May 28 2008,Hardwood,7.1
George Washington Carver,GWCA20,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA20,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA20,1,May 18 2016,Total,0
George Washington Carver,GWCA21,1,Jun  6 2012,Hardwood,13.4
George Washington Carver,GWCA21,1,Jun 10 2020,Hardwood,3
George Washington Carver,GWCA21,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA21,1,May 18 2016,Hardwood,20
George Washington Carver,GWCA21,1,May 18 2016,Total,20
George Washington Carver,GWCA21,1,May 28 2008,Hardwood,13
George Washington Carver,GWCA22,1,Jun  5 2012,Hardwood,22.1
George Washington Carver,GWCA22,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA22,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA22,1,May 18 2016,Hardwood,19
George Washington Carver,GWCA22,1,May 18 2016,Total,19
George Washington Carver,GWCA22,1,May 28 2008,Hardwood,14.8
George Washington Carver,GWCA23,1,Jun  4 2012,Hardwood,21.9
George Washington Carver,GWCA23,1,Jun 12 2020,Hardwood,15
George Washington Carver,GWCA23,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA23,1,May 20 2016,Hardwood,31.5
George Washington Carver,GWCA23,1,May 20 2016,Total,31.5
George Washington Carver,GWCA23,1,May 28 2008,Hardwood,24.4
George Washington Carver,GWCA24,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA24,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA24,1,May 18 2016,Total,0
George Washington Carver,GWCA25,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA25,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA25,1,May 18 2016,Total,0
George Washington Carver,GWCA26,1,Jun  6 2012,Hardwood,19.6
George Washington Carver,GWCA26,1,Jun 11 2020,Hardwood,20
George Washington Carver,GWCA26,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA26,1,May 18 2016,Hardwood,26
George Washington Carver,GWCA26,1,May 18 2016,Total,26
George Washington Carver,GWCA26,1,May 29 2008,Hardwood,18.3
