ID,TaxonCode,TSN,ScientificName,Family,CommonName,IsProvisional,IsValid,ValidTaxon,DateCreated,AOUCode
156,NRWS,178443,Stelgidopteryx serripennis,Hirundinidae,northern rough-winged swallow,0,1,NULL,2015-06-08 16:33:03.1570000,NULL
157,NSHO,175096,Anas clypeata,Anatidae,northern shoveler,0,0,NULL,2015-06-08 16:33:03.2000000,NULL
158,NSWO,177942,Aegolius acadicus,Strigidae,northern saw-whet owl,0,0,NULL,2015-06-08 16:33:03.2200000,NULL
159,OROR,179064,Icterus spurius,Icteridae,orchard oriole,0,1,NULL,2015-06-08 16:33:03.2370000,NULL
160,OSFL,554221,Contopus cooperi,Tyrannidae,olive-sided flycatcher,0,1,NULL,2015-06-08 16:33:03.2600000,NULL
161,OSPR,175590,Pandion haliaetus,Pandionidae,osprey,0,0,NULL,2015-06-08 16:33:03.2800000,NULL
162,OVEN,726205,Seiurus aurocapilla,Parulidae,ovenbird,0,1,NULL,2015-06-08 16:33:03.3030000,NULL
163,PABU,179156,Passerina ciris,Cardinalidae,painted bunting,0,0,NULL,2015-06-08 16:33:03.3270000,NULL
164,PAWA,950043,Setophaga palmarum,Parulidae,palm warbler,0,0,NULL,2015-06-08 16:33:03.3470000,NULL
165,PBGR,174505,Podilymbus podiceps,Podicipedidae,pied-billed grebe,1,0,NULL,2015-06-08 16:33:03.3700000,NULL
166,PEFA,175604,Falco peregrinus,Falconidae,peregrine falcon,0,1,NULL,2015-06-08 16:33:03.3970000,NULL
167,PHVI,179022,Vireo philadelphicus,Vireonidae,philadelphia vireo,0,0,NULL,2015-06-08 16:33:03.4230000,NULL
168,PIWA,950045,Setophaga pinus,Parulidae,pine warbler,0,0,NULL,2015-06-08 16:33:03.4730000,NULL
169,PIWO,178166,Dryocopus pileatus,Picidae,pileated woodpecker,0,1,NULL,2015-06-08 16:33:03.4970000,NULL
170,PRAW,950052,Setophaga discolor,Parulidae,prairie warbler,0,1,NULL,2015-06-08 16:33:03.5200000,NULL
171,PRFA,175603,Falco mexicanus,Falconidae,prairie falcon,0,1,NULL,2015-06-08 16:33:03.5430000,NULL
172,PROW,178846,Protonotaria citrea,Parulidae,prothonotary warbler,0,1,NULL,2015-06-08 16:33:03.5770000,NULL
173,PUFI,997803,Haemorhous purpreus,Fringillidae,purple finch,0,0,NULL,2015-06-08 16:33:03.6000000,NULL
174,PUGA,707815,Porphyrio martinica,Rallidae,purple gallinule,0,0,NULL,2015-06-08 16:33:03.6270000,NULL
175,PUMA,178464,Progne subis,Hirundinidae,purple martin,0,0,NULL,2015-06-08 16:33:03.6600000,NULL
176,RBGR,179139,Pheucticus ludovicianus,Cardinalidae,rose-breasted grosbeak,0,1,NULL,2015-06-08 16:33:03.6930000,NULL
177,RBGU,176830,Larus delawarensis,Laridae,ring-billed gull,0,0,NULL,2015-06-08 16:33:03.7330000,NULL
178,RBME,175187,Mergus serrator,Anatidae,red-breasted merganser,0,0,NULL,2015-06-08 16:33:03.7770000,NULL
179,RBNU,178784,Sitta canadensis,Sittidae,red-breasted nuthatch,0,0,NULL,2015-06-08 16:33:03.7970000,NULL
180,RBWO,178195,Melanerpes carolinus,Picidae,red-bellied woodpecker,0,1,NULL,2015-06-08 16:33:03.8170000,NULL
181,RCKI,179870,Regulus calendula,Regulidae,ruby-crowned kinglet,0,0,NULL,2015-06-08 16:33:03.8370000,NULL
182,REDH,175125,Aythya americana,Anatidae,redhead,0,0,NULL,2015-06-08 16:33:03.8630000,NULL
183,REVI,179021,Vireo olivaceus,Vieonidae,red-eyed vireo,0,1,NULL,2015-06-08 16:33:03.9000000,NULL
184,RHWO,178186,Melanerpes erythrocephalus,Picidae,red-headed woodpecker,0,1,NULL,2015-06-08 16:33:03.9300000,NULL
185,RLHA,175373,Buteo lagopus,Accipitridae,rough-legged hawk,0,0,NULL,2015-06-08 16:33:03.9530000,NULL
186,RNDU,175128,Aythya collaris,Anatidae,ring-necked duck,0,0,NULL,2015-06-08 16:33:03.9900000,NULL
187,RNPH,176735,Phalaropus lobatus,Scolopacidae,red-necked phalarope,0,1,NULL,2015-06-08 16:33:04.0100000,NULL
188,ROPI,177071,Columba livia,Columbidae,rock pigeon,0,1,NULL,2015-06-08 16:33:04.0300000,NULL
189,ROWR,178614,Salpinctes obsoletus,Troglodytidae,rock wren,0,1,NULL,2015-06-08 16:33:04.0500000,NULL
190,RNEP,175905,Phasianus colchicus,Phasianidae,ring-necked pheasant,0,1,NULL,2015-06-08 16:33:04.0730000,NULL
191,RSHA,175359,Buteo lineatus,Accipitridae,red-shouldered hawk,0,1,NULL,2015-06-08 16:33:04.0930000,NULL
192,RTHA,175350,Buteo jamaicensis,Accipitridae,red-tailed hawk,0,1,NULL,2015-06-08 16:33:04.1170000,NULL
193,RTHU,178032,Archilochus colubris,Trochillidae,ruby-throated hummingbird,0,1,NULL,2015-06-08 16:33:04.1430000,NULL
194,RUDU,175175,Oxyura jamaicensis,Anatidae,ruddy duck,0,0,NULL,2015-06-08 16:33:04.1670000,NULL
195,RUGR,175790,Bonasa umbellus,phasianidae,ruffed grouse,0,0,NULL,2015-06-08 16:33:04.2000000,NULL
196,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,0,1,NULL,2015-06-08 16:33:04.2200000,NULL
197,SAPH,178333,Sayornis saya,Tyrannidae,say's phoebe,0,1,NULL,2015-06-08 16:33:04.2700000,NULL
198,SAVS,179314,Passerculus sandwichensis,Emberizidae,savannah sparrow,0,1,NULL,2015-06-08 16:33:04.2930000,NULL
200,SCOR,179082,Icterus parisorum,Icteridae,scott's oriole,0,1,NULL,2015-06-08 16:33:04.3370000,NULL
201,SCTA,179883,Piranga olivacea,Cardinalidae,scarlet tanager,0,1,NULL,2015-06-08 16:33:04.3600000,NULL
202,SEOW,177935,Asio flammeus,Strigidae,short-eared owl,0,1,NULL,2015-06-08 16:33:04.3900000,NULL
203,SESA,176667,Calidris pusilla,Scolopacidae,semipalmated sandpiper,1,0,NULL,2015-06-08 16:33:04.4100000,NULL
204,SEWR,178605,Cistothorus platensis,Troglodytidae,sedge wren,0,1,NULL,2015-06-08 16:33:04.4370000,NULL
205,SNEG,174813,Egretta thula,Ardeidae,snowy egret,0,0,NULL,2015-06-08 16:33:04.4600000,NULL
206,SORA,176242,Porzana carolina,Rallidae,sora,0,1,NULL,2015-06-08 16:33:04.4830000,NULL
207,SOSA,176615,Tringa solitaria,Scolopacidae,solitary sandpiper,0,0,NULL,2015-06-08 16:33:04.5200000,NULL
208,SOSP,179492,Melospiza melodia,Emberizidae,song sparrow,0,1,NULL,2015-06-08 16:33:04.5470000,NULL
209,SOVI,179010,Vireo solitarius,Vireonidae,solitary vireo,0,0,NULL,2015-06-08 16:33:04.5700000,NULL
210,SPSA,726049,Actitis macularius,Scolopacidae,spotted sandpiper,0,0,NULL,2015-06-08 16:33:04.5970000,NULL
211,SPTO,554380,Pipilo maculatus,Emberizidae,spotted (rufous-side) towhee,0,0,NULL,2015-06-08 16:33:04.6230000,NULL
212,SSHA,175304,Accipiter striatus,Accipitridae,sharp-shinned hawk,0,1,NULL,2015-06-08 16:33:04.6430000,NULL
213,STFL,178293,Tyrannus forficatus,Tyrannidae,scissor-tailed flycatcher,0,1,NULL,2015-06-08 16:33:04.6670000,NULL
214,STGR,175841,Tympanuchus phasianellus,Phasianidae,sharp-tailed grouse,0,1,NULL,2015-06-08 16:33:04.6900000,NULL
215,SUTA,179888,Piranga rubra,Cardinalidae,summer tanager,0,1,NULL,2015-06-08 16:33:04.7130000,NULL
216,SWHA,175367,Buteo swainsoni,Accipitridae,swainson's hawk,0,1,NULL,2015-06-08 16:33:04.7370000,NULL
217,SWSP,179488,Melospiza georgiana,Emberizidae,swamp sparrow,0,0,NULL,2015-06-08 16:33:04.7970000,NULL
218,SWTH,179788,Catharus ustulatus,Turdidae,swainson's thrush,0,1,NULL,2015-06-08 16:33:04.8130000,NULL
219,SWWA,178848,Limnothlypis swainsonii,Parulidae,swainson's warbler,0,0,NULL,2015-06-08 16:33:04.8330000,NULL
220,TEWA,950014,Leiothlypis peregrina,Parulidae,tennessee warbler,0,1,NULL,2015-06-08 16:33:04.8530000,NULL
