AOUCode,TSN,CommonName,ScientificName,Family
WFIB,174926,white-faced ibis,Plegadis chihi,Threskiornithidae
WHIB,174930,white ibis,Eudocimus albus,Threskiornithidae
WIFL,178341,willow flycatcher,Empidonax traillii,Tyrannidae
WITU,176136,wild turkey,Meleagris gallopavo,Phasianidae
WIWA,950080,wilson's warbler,Cardellina pusilla,Parulidae
WODU,175122,wood duck,Aix sponsa,Anatidae
WOTH,179777,wood thrush,Hylocichla mustelina,Turdidae
EWPW,1077358,Eastern whip-poor-will,Antrostomus vociferus,Caprimulgidae
WTSP,179462,white-throated sparrow,Zonotrichia albicollis,Emberizidae
WWDO,177121,white-winged dove,Zenaida asiatica,Columbidae
YBCH,178964,yellow-breasted chat,Icteria virens,Parulidae
YBCU,177831,yellow-billed cuckoo,Coccyzus americanus,Cuculidae
YBFL,178338,yellow-bellied flycatcher,Empidonax flaviventris,Tyrannidae
YBSA,178202,yellow-bellied sapsucker,Sphyrapicus varius,Picidae
YEWA,950039,yellow warbler,Setophaga petechia,Parulidae
YHBL,179043,yellow-headed blackbird,Xanthocephalus xanthocephalus,Icteridae
YRWA,950046,yellow-rumped warbler,Setophaga coronata,Parulidae
NOFL,178154,northern flicker,Colaptes auratus,Picidae
YTVI,179009,yellow-throated vireo,Vireo flavifrons,Vireonidae
YTWA,950049,yellow-throated warbler,Setophaga dominica,Parulidae
ALFL,178340,Alder Flycatchetr,Empidonax alnorum,Tyrannidae
DEJU,179410,Darl-eyed Junco,Junco hyemalis,Emberizidae
BHVI,179010,Blue-headed Vireo,Vireo solitarius,Vireonidae
UPCH,178697,Unidentified poecile chickadee,Unidentified chickadee,Paridae
OCWA,950015,Orange-crowned Warbler,Leiothlypis celata,Parulidae
RUBL,179091,rusty blackbird,Euphagus carolinus,Icteridae
UNOW,NULL,unidentified owl,Unidentified owl,Strigidae/tytonidae
WEFL,178348,Western Flycatcher,Empidonax difficilis,Tyrannidae
